"Academia Econ. Pap.","Academia Economic Papers"
"J. Econ. Manage. Strategy","Journal of Economics and Management Strategy"
"J. Educ. Finance","Journal of Education Finance"
"J. Emerging Markets","Journal of Emerging Markets"
"J. Empirical Finance","Journal of Empirical Finance"
"J. Energy Devel.","Journal of Energy and Development"
"J. Energy Finance Devel.","Journal of Energy Finance and Development"
"J. Energy Lit.","Journal of Energy Literature"
"J. Environ. Devel.","Journal of Environment and Development"
"J. Environ. Econ. Manage.","Journal of Environmental Economics and Management"
"J. Environ. Planning Manage.","Journal of Environmental Planning and Management"
"J. Europ. Econ. Hist.","Journal of European Economic History"
"J. Evolutionary Econ.","Journal of Evolutionary Economics"
"J. Family Econ. Issues","Journal of Family and Economic Issues"
"J. Far Eastern Bus.","Journal of Far Eastern Business"
"J. Farm Econ.","Journal of Farm Economics"
"J. Finance","Journal of Finance"
"J. Finan. Quant. Anal.","Journal of Financial and Quantitative Analysis"
"J. Finan. Econ.","Journal of Financial Economics"
"J. Finan. Intermediation","Journal of Financial Intermediation"
"J. Finan. Manage. Anal.","Journal of Financial Management and Analysis"
"J. Finan. Res.","Journal of Financial Research"
"J. Finan. Services Res.","Journal of Financial Services Research"
"J. Forensic Econ.","Journal of Forensic Economics"
"J. Futures Markets","Journal of Futures Markets"
"J. Geograph. Systems","Journal of Geographical Systems"
"J. Health Econ.","Journal of Health Economics"
"J. Health Politics, Pol. Law","Journal of Health Politics, Policy and Law"
"J. Higher Educ. Pol. Manage.","Journal of Higher Education Policy and Management"
"J. Housing Econ.","Journal of Housing Economics"
"J. Housing Res.","Journal of Housing Research"
"J. Human Res.","Journal of Human Resources"
"J. Income Distribution","Journal of Income Distribution"
"J. Ind. Econ.","Journal of Industrial Economics"
"J. Industry Stud.","Journal of Industry Studies"
"J. Inst. Theoretical Econ.","Journal of Institutional and Theoretical Economics"
"J. Interamer. Stud. World Aff.","Journal of Interamerican Studies and World Affairs"
"J. Interdisciplinary Econ.","Journal of Interdisciplinary Economics"
"J. Int. Compar. Econ.","Journal of International and Comparative Economics"
"J. Int. Bus. Stud.","Journal of International Business Studies"
"J. Int. Devel.","Journal of International Development"
"J. Int. Econ. Law","Journal of International Economic Law"
"J. Int. Econ.","Journal of International Economics"
"J. Int. Finan. Markets, Inst. Money","Journal of International Financial Markets, Institutions and Money"
"J. Int. Money Finance","Journal of International Money and Finance"
"J. Int. Trade Econ. Devel.","Journal of International Trade and Economic Development"
"J. King Abdulaziz Univ.: Islamic Econ.","Journal of King Abdulaziz University: Islamic Economics"
"J. Lab. Econ.","Journal of Labor Economics"
"J. Lab. Res.","Journal of Labor Research"
"J. Law Econ.","Journal of Law and Economics"
"J. Law, Econ., Organ.","Journal of Law, Economics, and Organization"
"J. Legal Econ.","Journal of Legal Economics"
"J. Legal Stud.","Journal of Legal Studies"
"J. Macroecon.","Journal of Macroeconomics"
"J. Manage. Acc. Res.","Journal of Management Accounting Research"
"J. Manage. Governance","Journal of Management and Governance"
"J. Marketing Res.","Journal of Marketing Research"
"J. Marketing","Journal of Marketing"
"J. Markets Morality","Journal of Markets and Morality"
"J. Math. Econ.","Journal of Mathematical Economics"
"J. Monet. Econ.","Journal of Monetary Economics"
"J. Money, Credit, Banking","Journal of Money, Credit, and Banking"
"J. Multinat. Finan. Manage.","Journal of Multinational Financial Management"
"J. Peace Res.","Journal of Peace Research"
"J. Peace Sci.","Journal of Peace Science"
"J. Pol. Anal. Manage.","Journal of Policy Analysis and Management"
"J. Pol. Modeling","Journal of Policy Modeling"
"J. Pol. Reform","Journal of Policy Reform"
"J. Polit. Economy","Journal of Political Economy"
"J. Population Econ.","Journal of Population Economics"
"J. Portfol. Manage.","Journal of Portfolio Management"
"J. Post Keynesian Econ.","Journal of Post Keynesian Economics"
"J. Private Enterprise","Journal of Private Enterprise"
"J. Productiv. Anal.","Journal of Productivity Analysis"
"J. Public Int. Aff.","Journal of Public and International Affairs"
"J. Public Econ. Theory","Journal of Public Economic Theory"
"J. Public Econ.","Journal of Public Economics"
"J. Public Finance Public Choice/Econ. Scelte Pubbliche","Journal of Public Finance and Public Choice/Economia Delle Scelte Pubbliche"
"J. Quant. Econ.","Journal of Quantitative Economics"
"J. Real Estate Finance Econ.","Journal of Real Estate Finance and Economics"
"J. Real Estate Lit.","Journal of Real Estate Literature"
"J. Real Estate Portfol. Manage.","Journal of Real Estate Portfolio Management"
"J. Real Estate Practice Educ.","Journal of Real Estate Practice and Education"
"J. Real Estate Res.","Journal of Real Estate Research"
"J. Reg. Anal. Pol.","Journal of Regional Analysis and Policy"
"J. Reg. Sci.","Journal of Regional Science"
"J. Regul. Econ.","Journal of Regulatory Economics"
"J. Res. Islamic Econ.","Journal of Research in Islamic Economics"
"J. Res. Pharmaceut. Econ.","Journal of Research in Pharmaceutical Economics"
"J. Risk Ins.","Journal of Risk and Insurance"
"J. Risk Uncertainty","Journal of Risk and Uncertainty"
"J. Soc. Econ. Devel.","Journal of Social and Economic Development"
"J. Socio-Econ.","Journal of Socio-Economics"
"J. Sports Econ.","Journal of Sports Economics"
"J. Taxation","Journal of Taxation"
"J. Tech. Transfer","Journal of Technology Transfer"
"J. Amer. Real Estate Urban Econ. Assoc.","Journal of the American Real Estate and Urban Economics Association"
"J. Amer. Statistical Assoc.","Journal of the American Statistical Association"
"J. Asia Pacific Economy","Journal of the Asia Pacific Economy"
"J. Econ. of Bus.","Journal of the Economics of Business"
"J. Hist. Econ. Thought","Journal of the History of Economic Thought"
"J. Japanese Int. Economies","Journal of the Japanese and International Economies"
"J. Roy. Statistical Society","Journal of the Royal Statistical Society, Series A"
"J. Soc. Sci.","Journal of the Social Sciences"
"J. Statistical Soc. Inquiry Society Ireland","Journal of the Statistical and Social Inquiry Society of Ireland"
"J. Transnat. Manage. Devel.","Journal of Transnational Management Development"
"J. Transp. Econ. Pol.","Journal of Transport Economics and Policy"
"J. Urban Econ.","Journal of Urban Economics"
"J. World Bus.","Journal of World Business"
"J. World Trade Law","Journal of World Trade Law"
"J. World Trade","Journal of World Trade"
"Kansant. Aikak.","Kansantaloudellinen Aikakauskirja"
"Keio Econ. Stud.","Keio Economic Studies"
"Kobe Econ. Bus. Rev.","Kobe Economic and Business Review"
"Kobe Univ. Econ. Rev.","Kobe University Economic Review"
"Kokumin-Keizai Zasshi","Kokumin-Keizai Zasshi"
"Konjunkturpolitik","Konjunkturpolitik"
"Kredit Kapital","Kredit und Kapital"
"Kyklos","Kyklos"
"Kyoto Univ. Econ. Rev.","Kyoto University Economic Review"
"L'Actual. Econ./Rev. Anal. Econ.","L'Actualité Economique/Revue D'Analyse Economique"
"L'Actual. Econ.","L'Actualité Economique"
"L'Impresa","L'Impresa"
"L'Industria, N.S.","L'Industria, Nuova Serie"
"L'Industria","L'Industria"
"Lab. Hist.","Labor History"
"Lab. Econ.","Labour Economics"
"Labour","Labour"
"Lahore J. Econ.","Lahore Journal of Economics"
"Land Econ.","Land Economics"
"Latin Amer. Politics Society","Latin American Politics and Society"
"Law Contemp. Prob.","Law and Contemporary Problems"
"Lecturas Econ.","Lecturas de Economia"
"Libyan Econ. Bus. Rev.","Libyan Economic and Business Review"
"Liiketaloudellinen Aikak.","Liiketaloudellinen Aikakauskirja"
"Lloyds Bank Rev.","Lloyds Bank Review"
"Local Economy","Local Economy"
"Logist. Transp. Rev.","Logistics and Transportation Review"
"Macroecon. Dynam.","Macroeconomic Dynamics"
"Malayan Econ. Rev.","Malayan Economic Review"
"Manage. Acc.","Management Accounting"
"Manage. Train. Rev.","Management Training Review"
"Management","Management"
"Managerial Dec. Econ.","Managerial and Decision Economics"
"Manchester Sch. Econ. Soc. Stud.","Manchester School of Economic and Social Studies"
"Manchester Sch.","Manchester School"
"Margin","Margin"
"Marine Resource Econ.","Marine Resource Economics"
"Maritime Pol. Manage.","Maritime Policy and Management"
"Marketing Sci.","Marketing Science"
"Marquette Bus. Rev.","Marquette Business Review"
"Matekon","Matekon"
"Math. Finance","Mathematical Finance"
"Math. Methods Operations Res.","Mathematical Methods of Operations Research"
"Math. Soc. Sci.","Mathematical Social Sciences"
"Methodus","Methodus"
"Metrika","Metrika"
"Metroecon.","Metroeconomica"
"Mich. Academician","Michigan Academician"
"Mich. Law Rev.","Michigan Law Review"
"Middle East Bus. Econ. Rev.","Middle East Business and Economic Review"
"Middle East Econ. Pap.","Middle East Economic Papers"
"Middle East J.","Middle East Journal"
"METU Stud. Devel.","Middle East Technical University Studies in Development"
"Miss. Val. J. Bus. Econ.","Mississippi Valley Journal of Business and Economics"
"Mitteilungen Arbeitsmarkt- Berufsforschung","Mitteilungen aus der Arbeitsmarkt- und Berufsforschung"
"MOCT-MOST: Econ. Pol. Transitional Economies","MOCT-MOST: Economic Policy in Transitional Economies"
"Mod. Asian Stud.","Modern Asian Studies"
"Momento Econ.","Momento Económico"
"Mondo Aperto","Mondo Aperto"
"Moneda Crédito","Moneda y Crédito"
"Moneta Credito","Moneta e Credito"
"Monet. Econ. Stud.","Monetary and Economic Studies"
"Mon. Lab. Rev.","Monthly Labor Review"
"Multinat. Finance J.","Multinational Finance Journal"
"Nat. Inst. Econ. Rev.","National Institute Economic Review"
"Nat. Tax J.","National Tax Journal"
"Nat. Westminster Bank Quart. Rev.","National Westminster Bank Quarterly Review"
"National¸kon. Tidsskr.","National¸konomisk Tidsskrift"
"Natural Res. Modeling","Natural Resource Modeling"
"Natural Res. J.","Natural Resources Journal"
"Nebr. J. Econ. Bus.","Nebraska Journal of Economics and Business"
"Netnomics","Netnomics"
"New Economy","New Economy"
"New England Econ. Rev.","New England Economic Review"
"New Mexico Bus.","New Mexico Business"
"New Polit. Economy","New Political Economy"
"New Trends Czech. Econ.","New Trends Czech. Econ."
"New Zealand Econ. Pap.","New Zealand Economic Papers"
"New Zealand Geographer","New Zealand Geographer"
"Nigerian J. Econ. Soc. Stud.","Nigerian Journal of Economic and Social Studies"
"Nomura Res. Inst. Quart. Econ. Rev.","Nomura Research Institute Quarterly Economic Review"
"Nonlinear Dynam., Psych., and Life Sci.","Nonlinear Dynamics, Psychology, and Life Sciences"
"Nonprofit Manage. Leadership","Nonprofit Management and Leadership"
"Nordic J. Polit. Economy","Nordic Journal of Political Economy"
"N. Amer. Actuarial J.","North American Actuarial Journal"
"N. Amer. J. Econ. Finance","North American Journal of Economics and Finance"
"OECD Econ. Stud.","OECD Economic Studies"
"Ohio State U. Bull. Bus. Res.","Ohio State University Bulletin of Business Research"
"Okon. Polit.","Okonomi og Politik"
"Okonomi","Okonomi"
"OPEC Rev.","OPEC Review"
"Open Economies Rev.","Open Economies Review"
"OR Spectrum","OR Spectrum"
"OR Spektrum","OR Spektrum"
"Orbis Econ.","Orbis Economicus"
"Oregon Bus. Rev.","Oregon Business Review"
"Organ. Environ.","Organization and Environment"
"Osaka Econ. Pap.","Osaka Economic Papers"
"Oxford Bull. Econ. Statist.","Oxford Bulletin of Economics and Statistics"
"Oxford Devel. Stud.","Oxford Development Studies"
"Oxford Econ. Pap.","Oxford Economic Papers"
"Oxford Rev. Econ. Pol.","Oxford Review of Economic Policy"
"Pacific Asian J. Energy","Pacific and Asian Journal of Energy"
"Pacific Econ. Bull.","Pacific Economic Bulletin"
"Pacific Econ. Rev.","Pacific Economic Review"
"Pacific-Basin Finance J.","Pacific-Basin Finance Journal"
"Pakistan Devel. Rev.","Pakistan Development Review"
"Pakistan Econ. Soc. Rev.","Pakistan Economic and Social Review"
"Pakistan J. Appl. Econ.","Pakistan Journal of Applied Economics"
"Pap. Econ. Espan~ola","Papeles de Economi'a Espan~ola"
"Pap. Reg. Sci.","Papers in Regional Science"
"Pap. Non-Market Dec. Making","Papers on Non-Market Decision Making"
"Peace Res. Society Int. Pap.","Peace Research Society International Papers"
"Peace Sci. Society","Peace Science Society (International) Papers"
"Pensa. Iberamer.: Revista Econ. Poli'tica","Pensamiento Iberoamericano: Revista de Economi'a Poli'tica"
"Perspect. Lab. Income","Perspectives on Labour and Income"
"Pesquisa Planejamento Econ.","Pesquisa e Planejamento Econo^mico"
"PharmacoEcon.","PharmacoEconomics"
"Philippine Econ. J.","Philippine Economic Journal"
"Philippine J. Bus. Econ.","Philippine Journal of Business and Economics"
"Philippine J. Bus. Finance","Philippine Journal of Business and Finance"
"Philippine Rev. Econ. Bus.","Philippine Review of Economics and Business"
"Philippine Rev. Econ.","Philippine Review of Economics"
"Pol. Anal.","Policy Analysis"
"Pol. Rev.","Policy Review"
"Pol. Sci.","Policy Sciences"
"Pol. Stud.","Policy Studies"
"Policy","Policy"
"Politica Econ.","Politica Economica"
"Polit. Sci. Quart.","Political Science Quarterly"
"Politicka' Ekon.","Politicka' Ekonomie"
"Population Devel. Rev.","Population and Development Review"
"Population Bull.","Population Bulletin"
"Population Res. Pol. Rev.","Population Research and Policy Review"
"Population Rev.","Population Review"
"Population Stud.","Population Studies"
"Population","Population"
"Post-Communist Economies","Post-Communist Economies"
"Post-Soviet Aff.","Post-Soviet Affairs"
"Post-Soviet Geogr. Econ.","Post-Soviet Geography and Economics"
"Prague Econ. Pap.","Prague Economic Papers"
"Prob. Desarrollo","Problemas del Desarrollo"
"Prob. Econ. Transition","Problems of Economic Transition"
"Prob. Econ.","Problems of Economics"
"Public Admin. Rev.","Public Administration Review"
"Public Budg. Finance","Public Budgeting and Finance"
"Public Choice","Public Choice"
"Public Finance Quart.","Public Finance Quarterly"
"Public Finance Rev.","Public Finance Review"
"Public Finance","Public Finance"
"Public Management Sources","Public Management Sources"
"Public Pol.","Public Policy"
"Punjab Univ. Econ.","Punjab University Economist"
"Quaderni Econ. Finanza","Quaderni di Economia e Finanza"
"Quaderni Storici delle Marche","Quaderni Storici delle Marche"
"Quant. Finance","Quantitative Finance"
"Quart. J. Austrian Econ.","Quarterly Journal of Austrian Economics"
"Quart. J. Bus. Econ.","Quarterly Journal of Business and Economics"
"Quart. J. Econ.","Quarterly Journal of Economics"
"Quart. J. Indian Econ. Stud. Soc. Sci.","Quarterly Journal of Indian Economic Studies in Social Science"
"Quart. Rev. Agr. Econ.","Quarterly Review of Agricultural Economics"
"Quart. Rev. Econ. Bus.","Quarterly Review of Economics and Business"
"Quart. Rev. Econ. Finance","Quarterly Review of Economics and Finance"
"Quart. Rev. Rural Economy","Quarterly Review of the Rural Economy"
"Région Dével.","Région et Développement"
"RAND J. Econ.","RAND Journal of Economics"
"Rassegna Econ.","Rassegna Economica"
"Real Estate Econ.","Real Estate Economics"
"Rech. Econ. Louvain/Louvain Econ. Rev.","Recherches Economiques de Louvain/Louvain Economic Review"
"Rech. Econ. Louvain","Recherches Economiques de Louvain"
"Reg. Sci. Urban Econ.","Regional Science and Urban Economics"
"Reg. Sci. Persp.","Regional Science Perspectives"
"Reg. Stud.","Regional Studies"
"Regulation","Regulation"
"Res. Econ.","Research in Economics"
"Res. Law Econ.","Research in Law and Economics"
"Res. Pol.","Research Policy"
"Resource Energy Econ.","Resource and Energy Economics"
"Resources Energy","Resources and Energy"
"Resources Pol.","Resources Policy"
"Rev. Acc. Stud.","Review of Accounting Studies"
"Rev. African Polit. Economy","Review of African Political Economy"
"Rev. Agr. Econ.","Review of Agricultural Economics"
"Rev. Austrian Econ.","Review of Austrian Economics"
"Rev. Black Polit. Economy","Review of Black Political Economy"
"Rev. Bus. Econ. Res.","Review of Business and Economic Research"
"Rev. Derivatives Res.","Review of Derivatives Research"
"Rev. Devel. Econ.","Review of Development Economics"
"Rev. Econ. Cond. Italy","Review of Economic Conditions in Italy"
"Rev. Econ. Design","Review of Economic Design"
"Rev. Econ. Dynam.","Review of Economic Dynamics"
"Rev. Econ. Stud.","Review of Economic Studies"
"Rev. Econ. Statist.","Review of Economics and Statistics"
"Rev. Finan. Econ.","Review of Financial Economics"
"Rev. Finan. Stud.","Review of Financial Studies"
"Rev. Income Wealth","Review of Income and Wealth"
"Rev. Ind. Organ.","Review of Industrial Organization"
"Rev. Int. Econ.","Review of International Economics"
"Rev. Int. Polit. Economy","Review of International Political Economy"
"Rev. Int. Stud.","Review of International Studies"
"Rev. Marketing Agr. Econ.","Review of Marketing and Agricultural Economics"
"Rev. Polit. Economy","Review of Political Economy"
"Rev. Public Data Use","Review of Public Data Use"
"Rev. Quant. Finance Acc.","Review of Quantitative Finance and Accounting"
"Rev. Radical Polit. Econ.","Review of Radical Political Economics"
"Rev. Reg. Stud.","Review of Regional Studies"
"Rev. Soc. Economy","Review of Social Economy"
"Rev. Urban Reg. Devel. Stud.","Review of Urban and Regional Development Studies"
"Revista Brasileira Econ.","Revista Brasileira de Economia"
"Revista Admin. Empre^sas","Revista de Administrac,ao d Empre^sas"
"Revista Anal. Econ.","Revista de Analisis Economico"
"Revista Econ. Inst.","Revista de Economi'a Institucional"
"Revista Econ. y Estadi'st.","Revista de Economi'a y Estadi'stica, N.S."
"Revista Econ.","Revista de Economi'a"
"Revista Econometria","Revista de Econometria"
"Revista Econ. Aplicada","Revista de Economia Aplicada"
"Revista Econ. Poli'tica/Brazilian J. Polit. Economy","Revista de Economia Poli'tica/Brazilian Journal of Political Economy"
"Revista Econ. Poli'tica","Revista de Economia Poli'tica"
"Revista Estadi'st.","Revista de Estadi'stica"
"Revista Estud. Poli't.","Revista de Estudios Poli'ticos"
"Revista Hist. Econ.","Revista de Historia Económica"
"Revista Hist. Ind.","Revista de Historia Industrial"
"Revista Fac. Cienc. Econ. Admin. Montevideo","Revista de la Facultad de Ciencas Económicas y de Administración de Montevideo"
"Revista Espan~ola Econ.","Revista Espan~ola de Economi'a"
"Revue Can. Sci. Admin./Can. J. Admin. Sci.","Revue Canadienne des Sciences de l'Administration/Canadian Journal of Administrative Sciences"
"Revue Econ. Dével.","Revue d'Economie du Développement"
"Revue Econ. Financ.","Revue d'Economie Financie`re"
"Revue Econ. Ind.","Revue d'Economie Industrielle"
"Revue Econ. Politique","Revue d'Economie Politique"
"Revue Econ. Reg. Urbaine","Revue d'Economie Regionale et Urbaine"
"Revue Etud. Compar. Est-Ouest","Revue d'Etudes Comparatives Est-Ouest"
"Revue L'OFCE","Revue de L'OFCE"
"Revue Sci. Financ.","Revue de Science Financie`re"
"Revue Econ. Madagascar","Revue Economique de Madagascar"
"Revue Econ.","Revue Economique"
"Revue Finance Contro^le Stratégie","Revue Finance Contro^le Stratégie"
"Revue Franc,aise Econ.","Revue Franc,aise d'Economie"
"Revue Franc,aise Gestion","Revue Franc,aise de Gestion"
"Revue Roumaine Sci. Soc. Série Sci. Econ.","Revue Roumaine des Sciences Sociales; Série Sciences Economiques"
"Revue Tiers Monde","Revue Tiers Monde"
"Ricerche Econ.","Ricerche Economiche"
"RISEC: Int. Rev. Econ. Bus.","RISEC: International Review of Economics and Business"
"Risk Dec. Pol.","Risk Decision and Policy"
"Rivista Politica Econ.","Rivista di Politica Economica"
"Rivista Statist. Appl.","Rivista di Statistica Applicata"
"Rivista Storia Econ., N.S.","Rivista di Storia Economica, N.S."
"Rivista Int. Sci. Econ. Com.","Rivista Internazionale di Scienze Economiche e Commerciali"
"Rivista Int. Sci. Soc.","Rivista Internazionale di Scienze Sociali"
"Rivista Italiana Econ.","Rivista Italiana degli Economisti"
"Russian E. Europ. Finance Trade","Russian and East European Finance and Trade"
"Russian Econ. Trends","Russian Economic Trends"
"Scand. Econ. Hist. Rev.","Scandinavian Economic History Review"
"Scand. J. Econ.","Scandinavian Journal of Economics"
"Schmollers Jahr.","Schmollers Jahrbuch für Wirtschafts- und Sozialwissenschaften"
"Schmollers Jahr.: Z. Wirtsch. Sozialwissen./J. Appl. Soc. Sci. Stud.","Schmollers Jahrbuch: Zeitschrift für Wirtschafts- und Sozialwissenschaften/Journal of Applied Social Science Studies"
"Schweiz. Nationalbank Quart.","Schweizerische Nationalbank Quartalsheft"
"Schweiz. Z. Volkswirtsch. Statist./Swiss J. Econ. Statist.","Schweizerische Zeitschrift für Volkswirtschaft und Statistik/Swiss Journal of Economics and Statistics"
"Schweiz. Z. Volkswirtsch. Statist.","Schweizerische Zeitschrift für Volkswirtschaft und Statistik"
"Sci. Society","Science and Society"
"Scot. J. Polit. Economy","Scottish Journal of Political Economy"
"Seoul J. Econ.","Seoul Journal of Economics"
"Singapore Econ. Rev.","Singapore Economic Review"
"Skand. Banken Quart. Rev.","Skandinaviska Banken Quarterly Review"
"Sloan Manage. Rev.","Sloan Management Review"
"Small Bus. Econ.","Small Business Economics"
"Soc. Econ. Stud.","Social and Economic Studies"
"Soc. Choice Welfare","Social Choice and Welfare"
"Soc. Res.","Social Research"
"Soc. Sci. Japan J.","Social Science Japan Journal"
"Soc. Sci. Quart.","Social Science Quarterly"
"Soc. Sec. Bull.","Social Security Bulletin"
"South African J. Econ. Manage. Sci., N.S.","South African Journal of Economic and Management Sciences, N.S."
"South African J. Econ.","South African Journal of Economics"
"Southern Econ. J.","Southern Economic Journal"
"Southern J. Agr. Econ.","Southern Journal of Agricultural Economics"
"Southern Quart.","Southern Quarterly"
"Soviet E. Europ. Foreign Trade","Soviet and Eastern European Foreign Trade"
"Soviet Economy","Soviet Economy"
"Soviet Stud.","Soviet Studies"
"Spanish Econ. Rev.","Spanish Economic Review"
"Spoudai","Spoudai"
"Statistica","Statistica"
"Statistical J.","Statistical Journal"
"Statistical Pap.","Statistical Papers"
"Statsokon. Tidsskr.","Statsokonomisk Tidsskrift"
"Struct. Change Econ. Dynam.","Structural Change and Economic Dynamics"
"Stud. Econ.","Studi Economici"
"Stud. Econ. Finance","Studies in Economics and Finance"
"Stud. Family Planning","Studies in Family Planning"
"Stud. Nonlinear Dynam. Econometrics","Studies in Nonlinear Dynamics and Econometrics"
"Stud. Cercet. Econ.","Studii si Cercetari Economice"
"Suid-Afrikaanse Tydskr. Ekon. Bestuurswetenskappe/South African J. Econ. Manage. Sci., N.S.","Suid-Afrikaanse Tydskrif vir Ekonomiese en Bestuurswetenskappe/South African Journal of Economic and Management Sciences, N.S."
"Suid-Afrikaanse Tydskr. Ekon. Bestuurswetenskappe/South African J. Econ. Manage. Sci.","Suid-Afrikaanse Tydskrif vir Ekonomiese en Bestuurswetenskappe/South African Journal of Economic and Management Sciences"
"Supreme Court Econ. Rev.","Supreme Court Economic Review"
"Surv. Curr. Bus.","Survey of Current Business"
"Swedish Econ. Pol. Rev.","Swedish Economic Policy Review"
"Swedish J. Econ.","Swedish Journal of Economics"
"Swiss Polit. Sci. Rev.","Swiss Political Science Review"
"Tahq. Eq.","Tahqiqat-e eqtesadi (Quarterly Journal of Economic Research)"
"Taiwan Econ. Rev.","Taiwan Economic Review"
"Teaching Bus. Econ.","Teaching Business and Economics"
"Tech. Anal. Strategic Manage.","Technology Analysis and Strategic Management"
"Tech. Cult.","Technology and Culture"
"Telecommunications Pol.","Telecommunications Policy"
"Theory Dec.","Theory and Decision"
"Tijdschr. Econ. Manage.","Tijdschrift voor Economie en Management"
"Tijdschr. Econ.","Tijdschrift voor Economie"
"Tourism Hospitality Manage.","Tourism and Hospitality Management"
"Tourism Econ.","Tourism Economics"
"Trans-action","Trans-action"
"Transnat. Corporations","Transnational Corporations"
"Transp. J.","Transportation Journal"
"Transp. Res.: Part A: Pol. Practice","Transportation Research: Part A: Policy and Practice"
"Transp. Res.: Part B: Methodological","Transportation Research: Part B: Methodological"
"Transp. Res.: Part D: Transport Environ.","Transportation Research: Part D: Transport and Environment"
"Transp. Res.: Part E: Logist. Transp. Rev.","Transportation Research: Part E: Logistics and Transporation Review"
"Transportation","Transportation"
"Travail Emploi","Travail et Emploi"
"Ukrainian Econ. Rev.","Ukrainian Economic Review"
"UNCTAD Rev.","UNCTAD Review"
"UN Mon. Chron.","United Nations Monthly Chronicle"
"Univ. Missouri Bus. Govt. Rev.","University of Missouri Business and Government Review"
"Univ. Wash. Bus. Rev.","University of Washington Business Review"
"Urban Stud.","Urban Studies"
"Venture Capital","Venture Capital"
"Vierteljahrs. Wirtschaftsforschung","Vierteljahrsheftze zur Wirtschaftsforschung"
"Water Resources Res.","Water Resources Research"
"Weltwirtsch. Arch./Rev. World Econ.","Weltwirtschaftliches Archiv/Review of World Economics"
"Weltwirtsch. Arch.","Weltwirtschaftliches Archiv"
"Western Econ. J.","Western Economic Journal"
"Western J. Agr. Econ.","Western Journal of Agricultural Economics"
"Wirtsch. Recht","Wirtschaft und Recht"
"Wirtschaftspolitische Blätter","Wirtschaftspolitische Blätter"
"Wiss Z. Martin-Luther Univ. Halle-Wittenberg","Wissenshaftliche Zeitschrift der Martin Luther Universitat Halle-Wittenberg"
"WorkingUSA","WorkingUSA"
"World Bank Econ. Rev.","World Bank Economic Review"
"World Bank Res. Observer","World Bank Research Observer"
"World Devel.","World Development"
"World Economy","World Economy"
"Yale Econ. Essays","Yale Economic Essays"
"Yale J. Regul.","Yale Journal on Regulation"
"Yale Law J.","Yale Law Journal"
"Yapi Kredi Econ. Rev.","Yapi Kredi Economic Review"
"Yorkshire Bull. Econ. Soc. Res.","Yorkshire Bull. Econ. Soc. Res."
"Zagreb Int. Rev. Econ. Bus.","Zagreb International Review of Economics and Business"
"Zbornik Radova Ekon. Fakul. Rijeka","Zbornik Radova Ekonomskog Fakulteta Rijeka"
"Zbornik Radova Ekon. Fakul. U. Rijeci/Proceed. Rijeka Sch. Econ.: J. Econ. Bus.","Zbornik Radova Ekonomskog Fakulteta U. Rijeci/Proceedings of Rijeka School of Economics: Journal of Economics and Business"
"Z. Allg. Textile Marktwirtsch.","Zeitschrift für Allgemaine und Textile Marktwirts schaft"
"Z. Betriebswirtschaft","Zeitschrift für Betriebswirtschaft"
"Z. ges. Staatswissen. (JITE)","Zeitschrift für die gesamte Staatswissenschaft (JITE)"
"Z. Nationalökon.","Zeitschrift für Nationalökonomie"
"Z. Wirtsch. Sozialwissen.","Zeitschrift für Wirtschafts- und Sozialwissenschaften"
"Z. Wirtschaftspolitik","Zeitschrift für Wirtschaftspolitik"
