"","","p","Academia Econ. Pap.","","|","Academia Economic Papers"
"","","p","Int. J. Appl. Econ. Econometrics","","|","International Journal of Applied Economics and Econometrics"
"","","p","Int. J. Bus.","","|","International Journal of Business"
"","","p","Int. J. Finance Econ.","","|","International Journal of Finance and Economics"
"","","p","Int. J. Forecasting","","|","International Journal of Forecasting"
"","","p","Int. J. Game Theory","","|","International Journal of Game Theory"
"","","p","Int. J. Ind. Organ.","","|","International Journal of Industrial Organization"
"","","p","Int. J. Manpower","","|","International Journal of Manpower"
"","","p","Int. J. Maritime Econ.","","|","International Journal of Maritime Economics"
"","","p","Int. J. Product. Econ.","","|","International Journal of Production Economics"
"","","p","Int. J. Soc. Econ.","","|","International Journal of Social Economics"
"","","p","Int. J. Econ. Bus.","","|","International Journal of the Economics of Business"
"","","p","Int. J. Theoretical Appl. Finance","","|","International Journal of Theoretical and Applied Finance"
"","","p","Int. J. Transport Econ.","","|","International Journal of Transport Economics"
"","","p","Int. J. Urban Reg. Res.","","|","International Journal of Urban and Regional Research"
"","","p","Int. Lab. Rev.","","|","International Labour Review"
"","","p","Int. Monet. Fund Staff Pap.","","|","International Monetary Fund Staff Papers"
"","","p","Int. Organ.","","|","International Organization"
"","","p","Int. Pol. Rev.","","|","International Policy Review"
"","","p","Int. Reg. Sci. Rev.","","|","International Regional Science Review"
"","","p","Int. Rev. Appl. Econ.","","|","International Review of Applied Economics"
"","","p","Int. Rev. Econ. Finance","","|","International Review of Economics and Finance"
"","","p","Int. Rev. Finan. Anal.","","|","International Review of Financial Analysis"
"","","p","Int. Rev. Law Econ.","","|","International Review of Law and Economics"
"","","p","Int. Soc. Sci. J.","","|","International Social Science Journal"
"","","p","Int. Tax Public Finance","","|","International Tax and Public Finance"
"","","p","Int. Trade J.","","|","International Trade Journal"
"","","p","Investigacion Econ.","","|","Investigacion Economica"
"","","p","Investigaciones Econ.","","|","Investigaciones Economicas"
"","","p","Invest. Pol.","","|","Investment Policy"
"","","p","Irish Banking Rev.","","|","Irish Banking Review"
"","","p","Irish J. Agr. Econ. Rural Sociology","","|","Irish Journal of Agricultural Economics and Rural Sociology"
"","","p","ISE Rev.","","|","ISE Review"
"","","p","Islamic Econ. Stud.","","|","Islamic Economic Studies"
"","","p","Jahr. Nationalokon. Statist.","","|","Jahrbucher fur Nationalokonomie und Statistik"
"","","p","Jahr. Wirtsch. Osteuropas","","|","Jahrbuch der Wirtschaft Osteuropas"
"","","p","Jahr. Regionalwissen./Rev. Reg. Res.","","|","Jahrbuch fur Regionalwissenschaft/Review of Regional Research"
"","","p","Japan World Economy","","|","Japan and the World Economy"
"","","p","Japan Res. Quart.","","|","Japan Research Quarterly"
"","","p","Japanese Econ. Rev.","","|","Japanese Economic Review"
"","","p","Japanese Econ. Stud.","","|","Japanese Economic Studies"
"","","p","Japanese Economy","","|","Japanese Economy"
"","","p","J. Stud. Econ. Econometrics","","|","Journal for Studies in Economics and Econometrics"
"","","p","J. Acc. Econ.","","|","Journal of Accounting and Economics"
"","","p","J. Acc. Res.","","|","Journal of Accounting Research"
"","","p","J. Acc., Aud. Finance","","|","Journal of Accounting, Auditing and Finance"
"","","p","J. African Bus.","","|","Journal of African Business"
"","","p","J. African Economies","","|","Journal of African Economies"
"","","p","J. African Finance Econ. Devel.","","|","Journal of African Finance and Economic Development"
"","","p","J. Agr. Appl. Econ.","","|","Journal of Agricultural and Applied Economics"
"","","p","J. Agr. Resource Econ.","","|","Journal of Agricultural and Resource Economics"
"","","p","J. Agr. Econ. Res.","","|","Journal of Agricultural Economics Research"
"","","p","J. Agr. Econ.","","|","Journal of Agricultural Economics"
"","","p","J. Appl. Bus. Res.","","|","Journal of Applied Business Research"
"","","p","J. Appl. Econometrics","","|","Journal of Applied Econometrics"
"","","p","J. Appl. Econ.","","|","Journal of Applied Economics"
"","","p","J. Appl. Statist.","","|","Journal of Applied Statistics"
"","","p","J. Asia-Pacific Bus.","","|","Journal of Asia-Pacific Business"
"","","p","J. Asian Econ.","","|","Journal of Asian Economics"
"","","p","J. Asian Stud.","","|","Journal of Asian Studies"
"","","p","J. Australian Polit. Economy","","|","Journal of Australian Political Economy"
"","","p","J. Bank Res.","","|","Journal of Bank Research"
"","","p","J. Banking Finance","","|","Journal of Banking and Finance"
"","","p","J. Behavioral Econ.","","|","Journal of Behavioral Economics"
"","","p","J. Bioecon.","","|","Journal of Bioeconomics"
"","","p","J. Bus. Econ. Statist.","","|","Journal of Business and Economic Statistics"
"","","p","J. Bus. Res.","","|","Journal of Business Research"
"","","p","J. Bus.","","|","Journal of Business"
"","","p","J. Common Market Stud.","","|","Journal of Common Market Studies"
"","","p","J. Compar. Econ.","","|","Journal of Comparative Economics"
"","","p","J. Conflict Resolution","","|","Journal of Conflict Resolution"
"","","p","J. Cons. Aff.","","|","Journal of Consumer Affairs"
"","","p","J. Cons. Pol.","","|","Journal of Consumer Policy"
"","","p","J. Cons. Res.","","|","Journal of Consumer Research"
"","","p","J. Corp. Finan.: Contracting, Governance Organ.","","|","Journal of Corporate Finance: Contracting, Governance and Organization"
"","","p","J. Cult. Econ.","","|","Journal of Cultural Economics"
"","","p","J. Derivatives","","|","Journal of Derivatives"
"","","p","J. Developing Areas","","|","Journal of Developing Areas"
"","","p","J. Devel. Econ. Pol.","","|","Journal of Development and Economic Policies"
"","","p","J. Devel. Econ.","","|","Journal of Development Economics"
"","","p","J. Devel. Stud.","","|","Journal of Development Studies"
"","","p","J. East West Stud.                         ","","|","Journal of East and West Studies"
"","","p","J. East-West Bus.","","|","Journal of East-West Business"
"","","p","J. Econometrics","","|","Journal of Econometrics"
"","","p","J. Econ. Soc. Meas.","","|","Journal of Economic and Social Measurement"
"","","p","J. Econ. Soc. Pol.","","|","Journal of Economic and Social Policy"
"","","p","J. Econ. Soc. Res.","","|","Journal of Economic and Social Research"
"","","p","J. Econ. Behav. Organ.","","|","Journal of Economic Behavior and Organization"
"","","p","J. Econ. Cooperation Islamic Countries","","|","Journal of Economic Cooperation among Islamic Countries"
"","","p","J. Econ. Devel.","","|","Journal of Economic Development"
"","","p","J. Econ. Dynam. Control","","|","Journal of Economic Dynamics and Control"
"","","p","J. Econ. Educ.","","|","Journal of Economic Education"
"","","p","J. Econ. Growth","","|","Journal of Economic Growth"
"","","p","J. Econ. Hist.","","|","Journal of Economic History"
"","","p","J. Econ. Integration","","|","Journal of Economic Integration"
"","","p","J. Econ. Issues","","|","Journal of Economic Issues"
"","","p","J. Econ. Lit.","","|","Journal of Economic Literature"
"","","p","J. Econ. Methodology","","|","Journal of Economic Methodology"
"","","p","J. Econ. Perspect.","","|","Journal of Economic Perspectives"
"","","p","J. Econ. Psych.","","|","Journal of Economic Psychology"
"","","p","J. Econ. Res.","","|","Journal of Economic Research"
"","","p","J. Econ. Stud.","","|","Journal of Economic Studies"
"","","p","J. Econ. Surveys","","|","Journal of Economic Surveys"
"","","p","J. Econ. Theory Econometrics","","|","Journal of Economic Theory and Econometrics"
"","","p","J. Econ. Theory","","|","Journal of Economic Theory"
"","","p","J. Econ. (MVEA)","","|","Journal of Economics (MVEA)"
"","","p","J. Econ. (Z. Nationalokon.)","","|","Journal of Economics (Zeitschrift fur Nationalokonomie)"
"","","p","J. Econ. Bus.","","|","Journal of Economics and Business"
"","","p","J. Econ. Finance","","|","Journal of Economics and Finance"
"","","p","J. Econ. Manage. Strategy","","|","Journal of Economics and Management Strategy"
"","","p","J. Educ. Finance","","|","Journal of Education Finance"
"","","p","J. Emerging Markets","","|","Journal of Emerging Markets"
"","","p","J. Empirical Finance","","|","Journal of Empirical Finance"
"","","p","J. Energy Devel.","","|","Journal of Energy and Development"
"","","p","J. Energy Finance Devel.","","|","Journal of Energy Finance and Development"
"","","p","J. Energy Lit.","","|","Journal of Energy Literature"
"","","p","J. Environ. Devel.","","|","Journal of Environment and Development"
"","","p","J. Environ. Econ. Manage.","","|","Journal of Environmental Economics and Management"
"","","p","J. Environ. Planning Manage.","","|","Journal of Environmental Planning and Management"
"","","p","J. Europ. Econ. Hist.","","|","Journal of European Economic History"
"","","p","J. Evolutionary Econ.","","|","Journal of Evolutionary Economics"
"","","p","J. Family Econ. Issues","","|","Journal of Family and Economic Issues"
"","","p","J. Far Eastern Bus.","","|","Journal of Far Eastern Business"
"","","p","J. Farm Econ.","","|","Journal of Farm Economics"
"","","p","J. Finance","","|","Journal of Finance"
"","","p","J. Finan. Quant. Anal.","","|","Journal of Financial and Quantitative Analysis"
"","","p","J. Finan. Econ.","","|","Journal of Financial Economics"
"","","p","J. Finan. Intermediation","","|","Journal of Financial Intermediation"
"","","p","J. Finan. Manage. Anal.","","|","Journal of Financial Management and Analysis"
"","","p","J. Finan. Res.","","|","Journal of Financial Research"
"","","p","J. Finan. Services Res.","","|","Journal of Financial Services Research"
"","","p","J. Forensic Econ.","","|","Journal of Forensic Economics"
"","","p","J. Futures Markets","","|","Journal of Futures Markets"
"","","p","J. Geograph. Systems","","|","Journal of Geographical Systems"
"","","p","J. Health Econ.","","|","Journal of Health Economics"
"","","p","J. Health Politics, Pol. Law","","|","Journal of Health Politics, Policy and Law"
"","","p","J. Higher Educ. Pol. Manage.","","|","Journal of Higher Education Policy and Management"
"","","p","J. Housing Econ.","","|","Journal of Housing Economics"
"","","p","J. Housing Res.","","|","Journal of Housing Research"
"","","p","J. Human Res.","","|","Journal of Human Resources"
"","","p","J. Income Distribution","","|","Journal of Income Distribution"
"","","p","J. Ind. Econ.","","|","Journal of Industrial Economics"
"","","p","J. Industry Stud.","","|","Journal of Industry Studies"
"","","p","J. Inst. Theoretical Econ.","","|","Journal of Institutional and Theoretical Economics"
"","","p","J. Interamer. Stud. World Aff.","","|","Journal of Interamerican Studies and World Affairs"
"","","p","J. Interdisciplinary Econ.","","|","Journal of Interdisciplinary Economics"
"","","p","J. Int. Compar. Econ.","","|","Journal of International and Comparative Economics"
"","","p","J. Int. Bus. Stud.","","|","Journal of International Business Studies"
"","","p","J. Int. Devel.","","|","Journal of International Development"
"","","p","J. Int. Econ. Law","","|","Journal of International Economic Law"
"","","p","J. Int. Econ.","","|","Journal of International Economics"
"","","p","J. Int. Finan. Markets, Inst. Money","","|","Journal of International Financial Markets, Institutions and Money"
"","","p","J. Int. Money Finance","","|","Journal of International Money and Finance"
"","","p","J. Int. Trade Econ. Devel.","","|","Journal of International Trade and Economic Development"
"","","p","J. King Abdulaziz Univ.: Islamic Econ. ","","|","Journal of King Abdulaziz University: Islamic Economics"
"","","p","J. Lab. Econ.","","|","Journal of Labor Economics"
"","","p","J. Lab. Res.","","|","Journal of Labor Research"
"","","p","J. Law Econ.","","|","Journal of Law and Economics"
"","","p","J. Law, Econ., Organ.","","|","Journal of Law, Economics, and Organization"
"","","p","J. Legal Econ.","","|","Journal of Legal Economics"
"","","p","J. Legal Stud.","","|","Journal of Legal Studies"
"","","p","J. Macroecon.","","|","Journal of Macroeconomics"
"","","p","J. Manage. Acc. Res.","","|","Journal of Management Accounting Research"
"","","p","J. Manage. Governance","","|","Journal of Management and Governance"
"","","p","J. Marketing Res.","","|","Journal of Marketing Research"
"","","p","J. Marketing","","|","Journal of Marketing"
"","","p","J. Markets Morality","","|","Journal of Markets and Morality"
"","","p","J. Math. Econ.","","|","Journal of Mathematical Economics"
"","","p","J. Monet. Econ.","","|","Journal of Monetary Economics"
"","","p","J. Money, Credit, Banking","","|","Journal of Money, Credit, and Banking"
"","","p","J. Multinat. Finan. Manage.","","|","Journal of Multinational Financial Management"
"","","p","J. Peace Res.","","|","Journal of Peace Research"
"","","p","J. Peace Sci.","","|","Journal of Peace Science"
"","","p","J. Pol. Anal. Manage.","","|","Journal of Policy Analysis and Management"
"","","p","J. Pol. Modeling","","|","Journal of Policy Modeling"
"","","p","J. Pol. Reform","","|","Journal of Policy Reform"
"","","p","J. Polit. Economy","","|","Journal of Political Economy"
"","","p","J. Population Econ.","","|","Journal of Population Economics"
"","","p","J. Portfol. Manage.","","|","Journal of Portfolio Management"
"","","p","J. Post Keynesian Econ.","","|","Journal of Post Keynesian Economics"
"","","p","J. Private Enterprise","","|","Journal of Private Enterprise"
"","","p","J. Productiv. Anal.","","|","Journal of Productivity Analysis"
"","","p","J. Public Int. Aff.","","|","Journal of Public and International Affairs"
"","","p","J. Public Econ. Theory","","|","Journal of Public Economic Theory"
"","","p","J. Public Econ.","","|","Journal of Public Economics"
"","","p","J. Public Finance Public Choice/Econ. Scelte Pubbliche","","|","Journal of Public Finance and Public Choice/Economia Delle Scelte Pubbliche"
"","","p","J. Quant. Econ.","","|","Journal of Quantitative Economics"
"","","p","J. Real Estate Finance Econ.","","|","Journal of Real Estate Finance and Economics"
"","","p","J. Real Estate Lit.","","|","Journal of Real Estate Literature"
"","","p","J. Real Estate Portfol. Manage.","","|","Journal of Real Estate Portfolio Management"
"","","p","J. Real Estate Practice Educ.","","|","Journal of Real Estate Practice and Education"
"","","p","J. Real Estate Res.","","|","Journal of Real Estate Research"
"","","p","J. Reg. Anal. Pol.","","|","Journal of Regional Analysis and Policy"
"","","p","J. Reg. Sci.","","|","Journal of Regional Science"
"","","p","J. Regul. Econ.","","|","Journal of Regulatory Economics"
"","","p","J. Res. Islamic Econ.","","|","Journal of Research in Islamic Economics"
"","","p","J. Res. Pharmaceut. Econ.","","|","Journal of Research in Pharmaceutical Economics"
"","","p","J. Risk Ins.","","|","Journal of Risk and Insurance"
"","","p","J. Risk Uncertainty","","|","Journal of Risk and Uncertainty"
"","","p","J. Soc. Econ. Devel.","","|","Journal of Social and Economic Development"
"","","p","J. Socio-Econ.","","|","Journal of Socio-Economics"
"","","p","J. Sports Econ.","","|","Journal of Sports Economics"
"","","p","J. Taxation","","|","Journal of Taxation"
"","","p","J. Tech. Transfer","","|","Journal of Technology Transfer"
"","","p","J. Amer. Real Estate Urban Econ. Assoc.","","|","Journal of the American Real Estate and Urban Economics Association"
"","","p","J. Amer. Statistical Assoc.","","|","Journal of the American Statistical Association"
"","","p","J. Asia Pacific Economy","","|","Journal of the Asia Pacific Economy"
"","","p","J. Econ. of Bus.","","|","Journal of the Economics of Business"
"","","p","J. Hist. Econ. Thought","","|","Journal of the History of Economic Thought"
"","","p","J. Japanese Int. Economies","","|","Journal of the Japanese and International Economies"
"","","p","J. Roy. Statistical Society","","|","Journal of the Royal Statistical Society, Series A"
"","","p","J. Soc. Sci.","","|","Journal of the Social Sciences"
"","","p","J. Statistical Soc. Inquiry Society Ireland","","|","Journal of the Statistical and Social Inquiry Society of Ireland"
"","","p","J. Transnat. Manage. Devel.","","|","Journal of Transnational Management Development"
"","","p","J. Transp. Econ. Pol.","","|","Journal of Transport Economics and Policy"
"","","p","J. Urban Econ.","","|","Journal of Urban Economics"
"","","p","J. World Bus.","","|","Journal of World Business"
"","","p","J. World Trade Law","","|","Journal of World Trade Law"
"","","p","J. World Trade","","|","Journal of World Trade"
"","","p","Kansant. Aikak.","","|","Kansantaloudellinen Aikakauskirja"
"","","p","Keio Econ. Stud.","","|","Keio Economic Studies"
"","","p","Kobe Econ. Bus. Rev.","","|","Kobe Economic and Business Review"
"","","p","Kobe Univ. Econ. Rev.","","|","Kobe University Economic Review"
"","","p","Kokumin-Keizai Zasshi","","|","Kokumin-Keizai Zasshi"
"","","p","Konjunkturpolitik","","|","Konjunkturpolitik"
"","","p","Kredit Kapital","","|","Kredit und Kapital"
"","","p","Kyklos","","|","Kyklos"
"","","p","Kyoto Univ. Econ. Rev.","","|","Kyoto University Economic Review"
"","","p","L'Actual. Econ./Rev. Anal. Econ.","","|","L'Actualite Economique/Revue D'Analyse Economique"
"","","p","L'Actual. Econ.","","|","L'Actualite Economique"
"","","p","L'Impresa","","|","L'Impresa"
"","","p","L'Industria, N.S.","","|","L'Industria, Nuova Serie"
"","","p","L'Industria","","|","L'Industria"
"","","p","Lab. Hist.","","|","Labor History"
"","","p","Lab. Econ.","","|","Labour Economics"
"","","p","Labour","","|","Labour"
"","","p","Lahore J. Econ.","","|","Lahore Journal of Economics"
"","","p","Land Econ.","","|","Land Economics"
"","","p","Latin Amer. Politics Society","","|","Latin American Politics and Society"
"","","p","Law Contemp. Prob.","","|","Law and Contemporary Problems"
"","","p","Lecturas Econ.","","|","Lecturas de Economia"
"","","p","Libyan Econ. Bus. Rev.","","|","Libyan Economic and Business Review"
"","","p","Liiketaloudellinen Aikak.","","|","Liiketaloudellinen Aikakauskirja"
"","","p","Lloyds Bank Rev.","","|","Lloyds Bank Review"
"","","p","Local Economy","","|","Local Economy"
"","","p","Logist. Transp. Rev.","","|","Logistics and Transportation Review"
"","","p","Macroecon. Dynam.","","|","Macroeconomic Dynamics"
"","","p","Malayan Econ. Rev.","","|","Malayan Economic Review"
"","","p","Manage. Acc.","","|","Management Accounting"
"","","p","Manage. Train. Rev.","","|","Management Training Review"
"","","p","Management","","|","Management"
"","","p","Managerial Dec. Econ.","","|","Managerial and Decision Economics"
"","","p","Manchester Sch. Econ. Soc. Stud.","","|","Manchester School of Economic and Social Studies"
"","","p","Manchester Sch.","","|","Manchester School"
"","","p","Margin","","|","Margin"
"","","p","Marine Resource Econ.","","|","Marine Resource Economics"
"","","p","Maritime Pol. Manage.","","|","Maritime Policy and Management"
"","","p","Marketing Sci.","","|","Marketing Science"
"","","p","Marquette Bus. Rev.","","|","Marquette Business Review"
"","","p","Matekon","","|","Matekon"
"","","p","Math. Finance","","|","Mathematical Finance"
"","","p","Math. Methods Operations Res.","","|","Mathematical Methods of Operations Research"
"","","p","Math. Soc. Sci.","","|","Mathematical Social Sciences"
"","","p","Methodus","","|","Methodus"
"","","p","Metrika","","|","Metrika"
"","","p","Metroecon.","","|","Metroeconomica"
"","","p","Mich. Academician","","|","Michigan Academician"
"","","p","Mich. Law Rev.","","|","Michigan Law Review"
"","","p","Middle East Bus. Econ. Rev.","","|","Middle East Business and Economic Review"
"","","p","Middle East Econ. Pap.","","|","Middle East Economic Papers"
"","","p","Middle East J.","","|","Middle East Journal"
"","","p","METU Stud. Devel.","","|","Middle East Technical University Studies in Development"
"","","p","Miss. Val. J. Bus. Econ.","","|","Mississippi Valley Journal of Business and Economics"
"","","p","Mitteilungen Arbeitsmarkt- Berufsforschung","","|","Mitteilungen aus der Arbeitsmarkt- und Berufsforschung"
"","","p","MOCT-MOST: Econ. Pol. Transitional Economies","","|","MOCT-MOST: Economic Policy in Transitional Economies"
"","","p","Mod. Asian Stud.","","|","Modern Asian Studies"
"","","p","Momento Econ.","","|","Momento Economico"
"","","p","Mondo Aperto","","|","Mondo Aperto"
"","","p","Moneda Credito","","|","Moneda y Credito"
"","","p","Moneta Credito","","|","Moneta e Credito"
"","","p","Monet. Econ. Stud.","","|","Monetary and Economic Studies"
"","","p","Mon. Lab. Rev.","","|","Monthly Labor Review"
"","","p","Multinat. Finance J.","","|","Multinational Finance Journal"
"","","p","Nat. Inst. Econ. Rev.","","|","National Institute Economic Review"
"","","p","Nat. Tax J.","","|","National Tax Journal"
"","","p","Nat. Westminster Bank Quart. Rev.","","|","National Westminster Bank Quarterly Review"
"","","p","Nationalokon. Tidsskr.","","|","Nationalokonomisk Tidsskrift"
"","","p","Natural Res. Modeling","","|","Natural Resource Modeling"
"","","p","Natural Res. J.","","|","Natural Resources Journal"
"","","p","Nebr. J. Econ. Bus.","","|","Nebraska Journal of Economics and Business"
"","","p","Netnomics","","|","Netnomics"
"","","p","New Economy","","|","New Economy"
"","","p","New England Econ. Rev.","","|","New England Economic Review"
"","","p","New Mexico Bus.","","|","New Mexico Business"
"","","p","New Polit. Economy","","|","New Political Economy"
"","","p","New Trends Czech. Econ.","","|","New Trends Czech. Econ."
"","","p","New Zealand Econ. Pap.","","|","New Zealand Economic Papers"
"","","p","New Zealand Geographer","","|","New Zealand Geographer"
"","","p","Nigerian J. Econ. Soc. Stud.","","|","Nigerian Journal of Economic and Social Studies"
"","","p","Nomura Res. Inst. Quart. Econ. Rev.       ","","|","Nomura Research Institute Quarterly Economic Review"
"","","p","Nonlinear Dynam., Psych., and Life Sci.","","|","Nonlinear Dynamics, Psychology, and Life Sciences"
"","","p","Nonprofit Manage. Leadership","","|","Nonprofit Management and Leadership"
"","","p","Nordic J. Polit. Economy","","|","Nordic Journal of Political Economy"
"","","p","N. Amer. Actuarial J.","","|","North American Actuarial Journal"
"","","p","N. Amer. J. Econ. Finance","","|","North American Journal of Economics and Finance"
"","","p","OECD Econ. Stud.","","|","OECD Economic Studies"
"","","p","Ohio State U. Bull. Bus. Res.","","|","Ohio State University Bulletin of Business Research"
"","","p","Okon. Polit.","","|","Okonomi og Politik"
"","","p","Okonomi","","|","Okonomi"
"","","p","OPEC Rev.","","|","OPEC Review"
"","","p","Open Economies Rev.","","|","Open Economies Review"
"","","p","OR Spectrum","","|","OR Spectrum"
"","","p","OR Spektrum","","|","OR Spektrum"
"","","p","Orbis Econ.","","|","Orbis Economicus"
"","","p","Oregon Bus. Rev.","","|","Oregon Business Review"
"","","p","Organ. Environ.","","|","Organization and Environment"
"","","p","Osaka Econ. Pap.","","|","Osaka Economic Papers"
"","","p","Oxford Bull. Econ. Statist.","","|","Oxford Bulletin of Economics and Statistics"
"","","p","Oxford Devel. Stud.","","|","Oxford Development Studies"
"","","p","Oxford Econ. Pap.","","|","Oxford Economic Papers"
"","","p","Oxford Rev. Econ. Pol.","","|","Oxford Review of Economic Policy"
"","","p","Pacific Asian J. Energy","","|","Pacific and Asian Journal of Energy"
"","","p","Pacific Econ. Bull.","","|","Pacific Economic Bulletin"
"","","p","Pacific Econ. Rev.","","|","Pacific Economic Review"
"","","p","Pacific-Basin Finance J.","","|","Pacific-Basin Finance Journal"
"","","p","Pakistan Devel. Rev.","","|","Pakistan Development Review"
"","","p","Pakistan Econ. Soc. Rev.","","|","Pakistan Economic and Social Review"
"","","p","Pakistan J. Appl. Econ.","","|","Pakistan Journal of Applied Economics"
"","","p","Pap. Econ. Espanola","","|","Papeles de Economia Espanola"
"","","p","Pap. Reg. Sci.","","|","Papers in Regional Science"
"","","p","Pap. Non-Market Dec. Making","","|","Papers on Non-Market Decision Making"
"","","p","Peace Res. Society Int. Pap.","","|","Peace Research Society International Papers"
"","","p","Peace Sci. Society","","|","Peace Science Society (International) Papers"
"","","p","Pensa. Iberamer.: Revista Econ. Politica","","|","Pensamiento Iberoamericano: Revista de Economia Politica"
"","","p","Perspect. Lab. Income","","|","Perspectives on Labour and Income"
"","","p","Pesquisa Planejamento Econ.","","|","Pesquisa e Planejamento Economico"
"","","p","PharmacoEcon.","","|","PharmacoEconomics"
"","","p","Philippine Econ. J.","","|","Philippine Economic Journal"
"","","p","Philippine J. Bus. Econ.","","|","Philippine Journal of Business and Economics"
"","","p","Philippine J. Bus. Finance","","|","Philippine Journal of Business and Finance"
"","","p","Philippine Rev. Econ. Bus.","","|","Philippine Review of Economics and Business"
"","","p","Philippine Rev. Econ.","","|","Philippine Review of Economics"
"","","p","Pol. Anal.","","|","Policy Analysis"
"","","p","Pol. Rev.","","|","Policy Review"
"","","p","Pol. Sci.","","|","Policy Sciences"
"","","p","Pol. Stud.","","|","Policy Studies"
"","","p","Policy","","|","Policy"
"","","p","Politica Econ.","","|","Politica Economica"
"","","p","Polit. Sci. Quart.","","|","Political Science Quarterly"
"","","p","Politicka Ekon.","","|","Politicka Ekonomie"
"","","p","Population Devel. Rev.","","|","Population and Development Review"
"","","p","Population Bull.","","|","Population Bulletin"
"","","p","Population Res. Pol. Rev.","","|","Population Research and Policy Review"
"","","p","Population Rev.","","|","Population Review"
"","","p","Population Stud.","","|","Population Studies"
"","","p","Population","","|","Population"
"","","p","Post-Communist Economies","","|","Post-Communist Economies"
"","","p","Post-Soviet Aff.","","|","Post-Soviet Affairs"
"","","p","Post-Soviet Geogr. Econ.","","|","Post-Soviet Geography and Economics"
"","","p","Prague Econ. Pap.","","|","Prague Economic Papers"
"","","p","Prob. Desarrollo","","|","Problemas del Desarrollo"
"","","p","Prob. Econ. Transition","","|","Problems of Economic Transition"
"","","p","Prob. Econ.","","|","Problems of Economics"
"","","p","Public Admin. Rev.","","|","Public Administration Review"
"","","p","Public Budg. Finance","","|","Public Budgeting and Finance"
"","","p","Public Choice","","|","Public Choice"
"","","p","Public Finance Quart.","","|","Public Finance Quarterly"
"","","p","Public Finance Rev.","","|","Public Finance Review"
"","","p","Public Finance","","|","Public Finance"
"","","p","Public Management Sources","","|","Public Management Sources"
"","","p","Public Pol.","","|","Public Policy"
"","","p","Punjab Univ. Econ.","","|","Punjab University Economist"
"","","p","Quaderni Econ. Finanza","","|","Quaderni di Economia e Finanza"
"","","p","Quaderni Storici delle Marche","","|","Quaderni Storici delle Marche"
"","","p","Quant. Finance","","|","Quantitative Finance"
"","","p","Quart. J. Austrian Econ.","","|","Quarterly Journal of Austrian Economics"
"","","p","Quart. J. Bus. Econ.","","|","Quarterly Journal of Business and Economics"
"","","p","Quart. J. Econ.","","|","Quarterly Journal of Economics"
"","","p","Quart. J. Indian Econ. Stud. Soc. Sci.","","|","Quarterly Journal of Indian Economic Studies in Social Science"
"","","p","Quart. Rev. Agr. Econ.","","|","Quarterly Review of Agricultural Economics"
"","","p","Quart. Rev. Econ. Bus.","","|","Quarterly Review of Economics and Business"
"","","p","Quart. Rev. Econ. Finance","","|","Quarterly Review of Economics and Finance"
"","","p","Quart. Rev. Rural Economy","","|","Quarterly Review of the Rural Economy"
"","","p","Region Devel.","","|","Region et Developpement"
"","","p","RAND J. Econ.","","|","RAND Journal of Economics"
"","","p","Rassegna Econ.","","|","Rassegna Economica"
"","","p","Real Estate Econ.","","|","Real Estate Economics"
"","","p","Rech. Econ. Louvain/Louvain Econ. Rev.","","|","Recherches Economiques de Louvain/Louvain Economic Review"
"","","p","Rech. Econ. Louvain","","|","Recherches Economiques de Louvain"
"","","p","Reg. Sci. Urban Econ.","","|","Regional Science and Urban Economics"
"","","p","Reg. Sci. Persp.","","|","Regional Science Perspectives"
"","","p","Reg. Stud.","","|","Regional Studies"
"","","p","Regulation","","|","Regulation"
"","","p","Res. Econ.","","|","Research in Economics"
"","","p","Res. Law Econ.","","|","Research in Law and Economics"
"","","p","Res. Pol.","","|","Research Policy"
"","","p","Resource Energy Econ.","","|","Resource and Energy Economics"
"","","p","Resources Energy","","|","Resources and Energy"
"","","p","Resources Pol.","","|","Resources Policy"
"","","p","Rev. Acc. Stud.","","|","Review of Accounting Studies"
"","","p","Rev. African Polit. Economy","","|","Review of African Political Economy"
"","","p","Rev. Agr. Econ.","","|","Review of Agricultural Economics"
"","","p","Rev. Austrian Econ.","","|","Review of Austrian Economics"
"","","p","Rev. Black Polit. Economy","","|","Review of Black Political Economy"
"","","p","Rev. Bus. Econ. Res.","","|","Review of Business and Economic Research"
"","","p","Rev. Derivatives Res.","","|","Review of Derivatives Research"
"","","p","Rev. Devel. Econ.","","|","Review of Development Economics"
"","","p","Rev. Econ. Cond. Italy","","|","Review of Economic Conditions in Italy"
"","","p","Rev. Econ. Design","","|","Review of Economic Design"
"","","p","Rev. Econ. Dynam.","","|","Review of Economic Dynamics"
"","","p","Rev. Econ. Stud.","","|","Review of Economic Studies"
"","","p","Rev. Econ. Statist.","","|","Review of Economics and Statistics"
"","","p","Rev. Finan. Econ.","","|","Review of Financial Economics"
"","","p","Rev. Finan. Stud.","","|","Review of Financial Studies"
"","","p","Rev. Income Wealth","","|","Review of Income and Wealth"
"","","p","Rev. Ind. Organ.","","|","Review of Industrial Organization"
"","","p","Rev. Int. Econ.","","|","Review of International Economics"
"","","p","Rev. Int. Polit. Economy","","|","Review of International Political Economy"
"","","p","Rev. Int. Stud.","","|","Review of International Studies"
"","","p","Rev. Marketing Agr. Econ.","","|","Review of Marketing and Agricultural Economics"
"","","p","Rev. Polit. Economy","","|","Review of Political Economy"
